Course Name,Platform
Communicate Effectively about Ethical Challenges in Data-Driven Technologies,Coursera
¿Qué es la ciencia de datos?,Coursera
Preparing for the Google Cloud Professional Data Engineer Exam 日本語版,Coursera
Python Project for Data Engineering,Coursera
Análisis de datos con Python,Coursera
Python para Data Science y AI,Coursera
Bases de datos y SQL para ciencia de datos,Coursera
Building Resilient Streaming Analytics Systems on GCP 日本語版,Coursera
Herramientas para la ciencia de datos,Coursera
Building Resilient Streaming Analytics Systems on GCP em Português Brasileiro,Coursera
Metodología de la ciencia de datos,Coursera
Building Resilient Streaming Analytics Systems on GCP en Français,Coursera
Visualización de Datos con Python,Coursera
Ciencia de Datos Aplicada - Curso Capstone,Coursera
Estadísticas para la Ciencia de Datos con Python,Coursera
Intro to Data Science,Udacity
Analyzing and Visualizing Data with Excel,edX
Data Science,Coursera
Analyze City Data Using R and Tableau,Coursera
Spatial Data Science: The New Frontier in Analytics,Others
Computing for Data Analysis,edX
Python for Data Science,Swayam
The R Programming Environment,Coursera
Applied Social Network Analysis in Python,Coursera
Data Analysis in Social Science—Assessing Your Knowledge,edX
Data Analysis: Statistical Modeling and Computation in Applications,edX
Capstone Exam in Statistics and Data Science,edX
Collaborative Data Science for Healthcare,edX
Cluster Analysis in Data Mining,Coursera
Building R Packages,Coursera
Practical Data Science with MATLAB,Coursera
Survey Data Collection and Analytics Project (Capstone),Coursera
Foundations of Data Analysis - Part 1: Statistics Using R,edX
Introduction to Analytics Modeling,edX
FA19: Deterministic Optimization,edX
Big Data Integration and Processing,Coursera
Applied Data Science Capstone,Coursera
Data Science: Computational Thinking with Python,edX
Advanced Linear Models for Data Science 2: Statistical Linear Models,Coursera
Advanced R Programming,Coursera
"Sampling People, Networks and Records",Coursera
Data Science Ethics,FutureLearn
Introduction to Transforming with Data Analytics and the Digital Organization,edX
Genomic Data Science and Clustering (Bioinformatics V),Coursera
Intro to Python for Data Science,Datacamp
Big Data and Education,edX
COVID19 Data Analysis Using Python,Coursera
Building Batch Data Pipelines on GCP,Coursera
Building Resilient Streaming Analytics Systems on GCP,Coursera
Logistic Regression with NumPy and Python,Coursera
Data Analysis and Presentation Skills: the PwC Approach Final Project,Coursera
Exploratory Data Analysis with Seaborn,Coursera
Principal Component Analysis with NumPy,Coursera
Create Interactive Dashboards with Streamlit and Python,Coursera
Data Visualization with Plotly Express,Coursera
Intro to Time Series Analysis in R,Coursera
Network Data Science with NetworkX and Python,Coursera
Geo-Visualization in Python,Coursera
Mining Data to Extract and Visualize Insights in Python,Coursera
Build Data Analysis and Transformation Skills in R using DPLYR,Coursera
Plots (Graphics) for Data Science,Coursera
Building Stock Returns Heatmap with Tableau,Coursera
Using Shiny to Plot Differential Gene Expression,Coursera
Simulating Viral Pandemics in Python,Coursera
Handling Imbalanced Data Classification Problems,Coursera
Introducción a los algoritmos de regresión,Coursera
Serverless Data Analysis with Google BigQuery and Cloud Dataflow em Português Brasileiro,Coursera
Building Data Visualization Tools,Coursera
"Data – What It Is, What We Can Do With It",Coursera
Introduction to the Tidyverse,Coursera
Measurement – Turning Concepts into Data,Coursera
Quantifying Relationships with Regression Models,Coursera
Importing Data in the Tidyverse,Coursera
Wrangling Data in the Tidyverse,Coursera
Visualizing Data in the Tidyverse,Coursera
Modeling Data in the Tidyverse,Coursera
Data Visualization Capstone,Coursera
Data Literacy Capstone – Evaluating Research,Coursera
Data Analysis Essentials,edX
Introduction to R,Datacamp
Introduction to Data Science,Coursera
"Intro to Analytic Thinking, Data Science, and Data Mining",Coursera
"Predictive Modeling, Model Fitting, and Regression Analysis",Coursera
"Cluster Analysis, Association Mining, and Model Evaluation",Coursera
Introduction to Data Analysis using Excel,edX
Data Science: Machine Learning and Predictions,edX
Data Science: Inferential Thinking through Simulations,edX
Computing for Data Analysis,Coursera
Data Management and Visualization,Coursera
"Data, Models and Decisions in Business Analytics",edX
Practical Time Series Analysis,Coursera
SQL for Data Science,Coursera
Statistics and Data Science,edX
Big Data Analytics Using Spark,edX
Econometrics: Methods and Applications,Coursera
Introduction to Genomic Data Science,edX
Code Free Data Science,Coursera
Dynamic Programming: Applications In Machine Learning and Genomics,edX
Algorithms and Data Structures Capstone,edX
Graph Algorithms in Genome Sequencing,edX
مقدمة عن البيانات الضخمة,Coursera
Intro to Data Analysis,Udacity
Introduction to Data Science,edX
Математика и Python для анализа данных,Coursera
Model Building and Validation,Udacity
Introduction to Accounting Data Analytics and Visualization,Coursera
3D Data Visualization for Science Communication,Coursera
Executive Data Science,Coursera
Machine Learning for Data Analysis,Coursera
Data Analysis Tools,Coursera
Fundamentals of Visualization with Tableau,Coursera
Data Analytics for Business,edX
Big Data Analytics in Healthcare,Udacity
Data Analysis and Visualization,Udacity
Big Data Analytics in Healthcare,edX
Big data and Language 1,Coursera
Data Science Essentials,edX
Data Visualization and D3.js,Udacity
Foundations of Data Analysis - Part 2: Inferential Statistics,edX
Data Modeling and Regression Analysis in Business,Coursera
Data Analytics in Accounting Capstone,Coursera
Processing Big Data with Hadoop in Azure HDInsight,edX
Programming with Python for Data Science,edX
Analyzing Data with Python,edX
Sabermetrics 101: Introduction to Baseball Analytics,edX
Discrete Math and Analyzing Social Graphs,Coursera
Executive Data Science Capstone,Coursera
Введение в биоинформатику (Introduction to Bioinformatics),Coursera
Data Science in Stratified Healthcare and Precision Medicine,Coursera
Introduction to Predictive Analytics using Python,edX
Statistical Predictive Modelling and Applications,edX
Data Mining: Theories and Algorithms for Tackling Big Data | 数据挖掘：理论与算法,edX
Applied Data Science with Python,Coursera
Data Analysis: Visualization and Dashboard Design,edX
Master of Applied Data Science,Coursera
Excel to MySQL: Analytic Techniques for Business,Coursera
Data Mining with Weka,FutureLearn
Essential Statistics for Data Analysis using Excel,edX
Google Cloud Platform Big Data and Machine Learning Fundamentals,Coursera
Python Basics for Data Science,edX
Essential Design Principles for Tableau,Coursera
Построение выводов по данным,Coursera
Creating Dashboards and Storytelling with Tableau,Coursera
Distributed Computing with Spark SQL,Coursera
SQL for Data Science Capstone Project,Coursera
"Basic Data Descriptors, Statistical Distributions, and Application to Business Decisions",Coursera
Python Data Visualization,Coursera
Python Data Analysis,Coursera
生物信息学: 导论与方法,Coursera
医学统计学与SPSS软件（基础篇）,Coursera
人群与网络,Coursera
Сбор и анализ данных в Python,Coursera
Data Science: Foundations using R,Coursera
Genomic Data Science,Coursera
Data Science: Statistics and Machine Learning,Coursera
Advanced Statistics for Data Science,Coursera
Genomic Data Science Capstone,Coursera
Mastering Software Development in R Capstone,Coursera
Data Literacy,Coursera
Tidyverse Skills for Data Science in R,Coursera
Social Media Data Analytics,Coursera
Research Data Management and Sharing,Coursera
Big data and Language 2,Coursera
Introduction to Process Mining with ProM,FutureLearn
Knowledge Management and Big Data in Business,edX
"Python for Data Science, AI & Development",Coursera
"Data, Analytics, and Learning",edX
Data Processing Using Python,Coursera
Visualizing Data with Python,edX
Data Science for Smart Cities,edX
Big Data for Reliability and Security,edX
Bioinformatics,Coursera
Bioinformatics Capstone: Big Data in Biology,Coursera
Dealing With Missing Data,Coursera
Master of Science in Data Science,Coursera
Data Analysis: Building Your Own Business Dashboard,edX
Análisis de datos: Diseño y Visualización de Tableros,edX
Análisis de datos: Llévalo al MAX(),edX
Introduction to Clinical Data Science,Coursera
Advanced Clinical Data Science,Coursera
Image Processing and Analysis for Life Scientists,edX
Data Science Fundamentals,Coursera
Analisi dei dati,edX
Introduzione alla Data Visualization con Tableau,edX
Data Visualization e manipolazione dei dati con Tableau,edX
Quantitative Marketing Research,edX
Predictive Analytics,Swayam
Applied Bayesian for Analytics,Swayam
大數據分析：商業應用與策略管理 (Big Data Analytics: Business Applications and Strategic Decisions),Coursera
Big Data and the Environment,FutureLearn
Computational Thinking and Big Data,edX
Введение в науку о данных (An Introduction to Data Science),Coursera
Практики работы с данными средствами Power Query и Power Pivot,Coursera
Digitalization in International Relations,Coursera
Information Visualization: Advanced Techniques,Coursera
Developing the SIR Model,Coursera
Building on the SIR Model,Coursera
Interventions and Calibration,Coursera
Stochastic Processes: Data Analysis and Computer Simulation,edX
Data Analytics in Health – From Basics to Business,edX
Exploratory Multivariate Data Analysis,France Université Numerique
Driving Business Results with Big Data,openSAP
Analyse des données multidimensionnelles,France Université Numerique
Cómputo evolutivo,Coursera
Data Analysis: A Practical Introduction for Absolute Beginners,edX
Big Data applications and Analytics,Others
Understanding Data,MRUniversity
Applied Data Analysis: Working in Organizations and Industries,edX
Storytelling and Persuading using Data and Digital Technologies,edX
Effecting Digital Transformation with Data Analytics Projects,edX
Making Evidence-Based Strategic Decisions,edX
Análisis Estadístico de datos con R,Miríadax
SQL for Data Science,edX
Introduction to Data Science,edX
Foundations of mining non-structured medical data,Coursera
Data Science for Engineers,Swayam
Data Science for Executives,edX
Advanced Big Data Systems | 高级大数据系统,edX
Data Science: A New Way of Thinking | 数据科学导论,edX
数据可视化|Data Visualization,edX
Introducción a la Ciencia de Datos y el Big Data,edX
Herramientas para el Análisis de Big Data,edX
Visualización de Datos y Storytelling,edX
Introducción a Ciencias de Datos y Estadística Básica para Negocios,edX
Big Data: el impacto de los datos masivos en la sociedad actual,Coursera
Big Data: adquisición y almacenamiento de datos,Coursera
Big Data: procesamiento y análisis,Coursera
Big Data: visualización de datos,Coursera
Data Foundations,edX
Data Processing and Analysis with Excel,edX
Data Representation and Visualization in Tableau,edX
Spatial Data Science and Applications,Coursera
Big Data Emerging Technologies,Coursera
Maestría en Inteligencia Analítica de Datos,Coursera
Get ready for a Masters in Data Science and AI,FutureLearn
Análisis de Datos Experimentales: Utilidades Básicas,Miríadax
IoT Programming and Big Data,edX
Big Data - Capstone Project,Coursera
Python Data Products for Predictive Analytics,Coursera
Data Science,edX
Data Mining,Coursera
Data Analysis,Coursera
คณิตศาสตร์สำหรับวิทยาศาสตร์ข้อมูล (Mathematics for Data Science),ThaiMOOC
โปรแกรมไพทอนสำหรับวิทยาการข้อมูล (Python Programming for Data Science),ThaiMOOC
"Data Science for Construction, Architecture and Engineering",edX
Essentials of Data Literacy,edX
Big Data Analytics,edX
Programming for Data Science,edX
Big Data Fundamentals,edX
Big Data Capstone Project,edX
Statistics with R Capstone,Coursera
"Big Data Analytics: Opportunities, Challenges, and the Future",FutureLearn
Big Data sin misterios,edX
Fundamentals of Scalable Data Science,Coursera
Introduction to Data Science using Python (Module 1/3),Udemy
Gephi 中文教程,Udemy
DNA Sequences: Alignments and Analysis,edX
Introduction to Data Analytics,Coursera
Introducción a la Minería de Datos,Coursera
Statistical Analysis in Bioinformatics,edX
Knowledge Inference and Structure Discovery for Education,edX
Data Visualization for All,edX
"Proteins: Alignment, Analysis and Structure",edX
Multimodal Learning Analytics,edX
Introduction to Statistical Methods for Gene Mapping,edX
Data Science and Machine Learning Capstone Project,edX
Foundations of Data Science: K-Means Clustering in Python,Coursera
Data Analytics with Python,Swayam
Excel Basics for Data Analysis,Coursera
Data Science Tools,edX
Introdução ao Big Data,Coursera
Essentials of Data Science,Udemy
Advanced Data Mining with Weka,FutureLearn
Bootcamp for KNIME Analytics Platform,Udemy
Data Science Readiness Assessment,edX
Statistical Computing with R - a gentle introduction,Others
Essentials of Data Science With R Software - 1: Probability and Statistical Inference,Swayam
Instructional Design Course Evaluation & Capstone Project,edX
More Data Mining with Weka,FutureLearn
Big data Internship Program - Foundation,Udemy
Managing Big Data with R and Hadoop,FutureLearn
"Data Science, Machine Learning, Data Analysis, Python & R",Udemy
Введение в данные,Coursera
Introducción a la ciencia de datos y sus aplicaciones,edX
"Bioinformatics for Biologists: An Introduction to Linux, Bash Scripting, and R",FutureLearn
Security and Privacy for Big Data - Part 1,Coursera
Data Science in the Games Industry,FutureLearn
The Data Science Method,edX
Lean Analytics Workshop - Alistair Croll and Ben Yoskovitz,Udemy
Data Visualization and Dashboards with Excel and Cognos,Coursera
Master Data Analysis with Python - Intro to Pandas,Udemy
¡Conceptos básicos de Python para Data Science!,edX
Artificial Intelligence Markup Language (AIML),Udemy
Essentials of Data Science With R Software - 2: Sampling Theory and Linear Regression Analysis,Swayam
Data Mining,Swayam
SQL aplicado en la ciencia de datos,edX
The Power of Data in Health and Social Care,FutureLearn
Learn Data Science With R Part 1 of 10,Udemy
Artificial Intelligence Level 1: Cogito,Udemy
Hadoop Basic Course for Beginners to Professionals,Udemy
Herramientas de ciencia de datos: uso práctico,edX
Data Science 101 Data Analytics Class Python Bootcamp NYC,Udemy
Apache Sqoop for Certifications - CCA and HDPCD,Udemy
Statistics for Data Science with Python,Coursera
Análisis de datos empresariales con R,edX
El método de ciencia de datos,edX
BioInformatics: Algorithms and Applications,Swayam
Python Project for Data Science,Coursera
Big Data: el valor añadido de los datos en su negocio,Miríadax
Data Analysis and Decision Making - I,Swayam
Promote the Ethical Use of Data-Driven Technologies,Coursera
WEKA - Data Mining with Open Source Machine Learning Tool,Udemy
Business Intelligence,EMMA
Visualizando datos con Python,edX
Kickstart Artificial Intelligence,Udemy
Analizando datos con Python,edX
Python AI and Machine Learning for Production & Development,Udemy
Curso Práctico de Bioestadística con R,Miríadax
The Power of Data,edX
Computer Assisted Inquiry,EMMA
Applied Data Science,FutureLearn
"Reverse and complement nucleic acid sequences (DNA, RNA) using R",Coursera
Aplicaciones de ciencias de datos en los negocios actuales,edX
Introduction to Artificial Intelligence (Indonesian Version),Udemy
Introducción a los métodos computacionales para Ciencias Sociales,edX
Detect and Mitigate Ethical Risks,Coursera
Turn Ethical Frameworks into Actionable Steps,Coursera
FUNDAMENTALS OF BIOINFORMATICS,Swayam
Amazing AI: Reverse Image Search,Udemy
Mejores prácticas para el procesamiento de datos en Big Data,Coursera
Pandas with Python,Udemy
"Dealing with materials data : collection, analysis and interpretation",Swayam
Handling Large-Scale Unit Level Data Using STATA,Swayam
Introducción al Análisis de Datos,Coursera
Building Resilient Streaming Systems on GCP em Português Brasileiro,Coursera
Ciencia de datos y aprendizaje automático - Curso Capstone,edX
Exploring ​and ​Preparing ​your ​Data with BigQuery 日本語版,Coursera
Preparing for the Google Cloud Professional Data Engineer Exam em Português Brasileiro,Coursera
Achieving Advanced Insights with BigQuery 日本語版,Coursera
ความรู้พื้นฐานเกี่ยวกับบิ๊กดาตา | Big Data Concept,ThaiMOOC
Методология обработки и анализа данных,Coursera
Анализ данных с использованием Python,Coursera
Proyecto Final de Analítica de Datos,Coursera
Análise de dados com Python,Coursera
تحليل البيانات باستخدام بايثون,Coursera
قواعد البيانات وSQL (لغة الاستعلام البنيوية) لعلم البيانات,Coursera
Metodologia de Ciência de Dados,Coursera
Python para a Ciência de Dados e IA,Coursera
منهجية علم البيانات,Coursera
بايثون لعلوم البيانات والذكاء الصناعي,Coursera
Trabalho de conclusão de Ciência de Dados Aplicada,Coursera
Что такое обработка и анализ данных?,Coursera
كابستون علوم البيانات التطبيقية,Coursera
Заключительный курс по теме «Прикладная наука о данных»,Coursera
O que é ciência de dados?,Coursera
ما علم البيانات؟,Coursera
Data Analysis with Python,freeCodeCamp
Data Visualization,freeCodeCamp
Comprendre le Big Data à travers les films de cinéma,OpenClassrooms
Deploying a Hadoop Cluster,Udacity
Data Visualization in Tableau,Udacity
Code of Life – When Computer Science Meets Genetics,openHPI
Big Data with SAP Vora - Engines and Tools,openSAP
Data Science in Action - Building a Predictive Churn Model,openSAP
Big Data Analytics,openHPI
Анализ данных в R,Stepik
Биотехнологии: генная инженерия,Stepik
Анализ данных в R. Часть 2,Stepik
Введение в NGS. Часть 1,Stepik
Молекулярная филогенетика,Stepik
Programming in R for Data Science,edX
Excel によるデータの分析と可視化,edX
Creating BI Reports with SQL Server Reporting Services,edX
Réalisez des calculs distribués sur des données massives,OpenClassrooms
Gérez des flux de données temps réel,OpenClassrooms
Créez votre Data Lake,OpenClassrooms
Concevez des architectures Big Data,OpenClassrooms
Décrivez et nettoyez votre jeu de données,OpenClassrooms
Data Science Interview Prep,Udacity
Big Data Technology Fundamentals Online,Others
Implementing Real-Time Analytics with Hadoop in Azure HDInsight,edX
Orchestrating Big Data with Azure Data Factory,edX
Analyzing Big Data with Microsoft R,edX
Data Visualization: A Practical Approach for Absolute Beginners,edX
Essential Math for Data Analysis using Excel Online,edX
Spark,Udacity
Introduction to Statistics for Data Science,openSAP
Microsoft Professional Capstone : Big Data,edX
Microsoft Professional Capstone: Data Analysis,edX
Introduction to Big Data,edX
Data Science Research Methods: Python Edition,edX
Data Science Research Methods: R Edition,edX
Data Engineering und Data Science – Klarheit in den Schlagwort-Dschungel,openHPI
"Chimiometrie, chapitre 1/2: les méthodes non supervisées",France Université Numerique
Online Master of Science in Analytics (OMS Analytics),edX
Analytics: Essential Tools and Methods,edX
"Silicon Photonics Design, Fabrication and Data Analysis",edX
Data Science at Scale,Coursera
Data Science at Scale - Capstone Project,Coursera
Data Mining Project,Coursera
Master of Computer Science in Data Science,Coursera
Plant Bioinformatic Methods,Coursera
Learn SQL Basics for Data Science,Coursera
Data Visualization with Tableau,Coursera
Data Visualization with Tableau Project,Coursera
Data Analysis and Interpretation,Coursera
Elements of Data Science,edX
Mathematics for Data Science,Coursera
Master’s Degree in Data Science,edX
Математика для анализа данных,Coursera
Master of Data Science,Coursera
Microsoft Professional Capstone : Data Science,edX
Real-Time Analytics with Apache Storm,Udacity
Data Streaming,Udacity
Digital Media Analytics,FutureLearn
Survey Data Collection and Analytics,Coursera
Clinical Data Science,Coursera
Анализ данных: финальный проект,Coursera
Data Visualization: Analisi dei dati con Tableau,edX
Big Data Analytics,FutureLearn
PH525x: Data Analysis for Genomics,edX
Capstone: Create Value from Open Data,Coursera
Data Analysis and Interpretation Capstone,Coursera
Практики анализа экономических данных от простого к сложному,Coursera
Master of Machine Learning and Data Science,Coursera
Business and Data Analysis Skills,edX
Programming for Data Science with Python,Udacity
Bioinformatics,edX
Transforming Your Company’s Data Analytics: Championing the Digital Enterprise,edX
Análisis de datos para la toma de decisiones empresariales,edX
Análisis de Datos para la toma de decisiones,Coursera
"Habilidades cuantitativas esenciales en finanzas, negocios y ciencia de datos",edX
Big Data – Introducción al uso práctico de datos masivos,Coursera
Big Data: capstone project,Coursera
The Data Science Course 2020: Complete Data Science Bootcamp,Udemy
Analysing: Numeric and digital literacies,Coursera
Microsoft Excel - Advanced Excel Formulas & Functions,Udemy
Data Science A-Z™: Real-Life Data Science Exercises Included,Udemy
IBM Data Science,Coursera
"Machine Learning, Data Science and Deep Learning with Python",Udemy
Big Data,edX
Data Science: Data-Driven Decision Making,FutureLearn
Data Science: Data-Driven Decision Making,FutureLearn
Statistics for Data Science and Business Analysis,Udemy
Artificial Intelligence A-Z™: Learn How To Build An AI,Udemy
Data Analysis and Presentation Skills: the PwC Approach,Coursera
Apache Spark with Scala - Hands On with Big Data!,Udemy
Data Science and Machine Learning Bootcamp with R,Udemy
Complete Guide to Elasticsearch,Udemy
Alteryx Bootcamp,Udemy
Data Analysis with Pandas and Python,Udemy
【キカガク流】人工知能・機械学習 脱ブラックボックス講座 - 初級編 -,Udemy
Formação Cientista de Dados com Python e R,Udemy
Introduction to Machine Learning for Data Science,Udemy
"Tableau 2020, 19, 18 & 10: Certified Associate certification",Udemy
みんなのAI講座 ゼロからPythonで学ぶ人工知能と機械学習 【2020年最新版】,Udemy
Complete Machine Learning & Data Science Bootcamp 2021,Udemy
Data Science de A a Z - Extraçao e Exibição dos Dados,Udemy
Introduction to Tableau,Datacamp
Introduction to Data Science,Coursera
Scala and Spark for Big Data and Machine Learning,Udemy
Python: Yapay Zeka ve Veri Bilimi için Python Programlama,Udemy
【キカガク流】人工知能・機械学習 脱ブラックボックス講座 - 中級編 -,Udemy
SQL & Database Design A-Z™: Learn MS SQL Server + PostgreSQL,Udemy
Python Data Analysis,LinkedIn Learning
Introduction to Power BI,Datacamp
Applied Data Science,Coursera
Advanced Data Science with IBM,Coursera
"Data Engineering, Big Data, and Machine Learning on GCP",Coursera
Mastering data visualization in D3.js [2020 UPDATE],Udemy
Streaming Big Data with Spark Streaming and Scala - Hands On,Udemy
Apache Kafka Series - Kafka Connect Hands-on Learning,Udemy
Complete 2020 Data Science & Machine Learning Bootcamp,Udemy
Apache Spark 2.0 with Java -Learn Spark from a Big Data Guru,Udemy
Information Visualization,Coursera
Data Science ve Python: Sıfırdan Uzmanlığa Veri Bilimi (2),Udemy
Les Data Sciences de A à Z,Udemy
Data Visualization: A Lesson and Listen Series,LinkedIn Learning
Tableau 10: Mastering Calculations,LinkedIn Learning
CCA 175 - Spark and Hadoop Developer Certification - Scala,Udemy
Intro to Data Science: Your Step-by-Step Guide To Starting,Udemy
IBM Data Analyst,Coursera
Careers in Data Science A-Z™,Udemy
Systems Biology and Biotechnology,Coursera
Artificial Intelligence for Business,Udemy
pandas Essential Training,LinkedIn Learning
【世界で34万人が受講】データサイエンティストを目指すあなたへ〜データサイエンス25時間ブートキャンプ〜,Udemy
D3.js Essential Training for Data Scientists,LinkedIn Learning
Super Formação Inteligência Artificial e Machine Learning,Udemy
Statistics for Data Analysis Using Excel 2016,Udemy
Apache Kafka Series - Confluent Schema Registry & REST Proxy,Udemy
The Beginner's Guide to Artificial Intelligence in Unity.,Udemy
Data Visualization for Marketers,LinkedIn Learning
The Complete Pandas Bootcamp 2021: Data Science with Python,Udemy
Modern Big Data Analysis with SQL,Coursera
Curso completo de Inteligencia Artificial con Python,Udemy
Visualizing Citibike Trips with Tableau,Coursera
Linear Regression with NumPy and Python,Coursera
Data Science 2021 : Complete Data Science & Machine Learning,Udemy
